InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
n2-highmem-32,32.0,256.0,,,,us-east1,us-east1-b,2.09622,0.55424
n2-highmem-4,4.0,32.0,,,,europe-west4,europe-west4-a,0.28846,0.06997
n2-highmem-4,4.0,32.0,,,,us-east1,us-east1-b,0.26203,0.06928
n2-highmem-48,48.0,384.0,,,,europe-west4,europe-west4-a,3.46147,0.83962
n2-highmem-48,48.0,384.0,,,,us-east1,us-east1-b,3.14434,0.83136
n2-highmem-64,64.0,512.0,,,,europe-west4,europe-west4-a,4.6153,1.11949
n2-highmem-64,64.0,512.0,,,,us-east1,us-east1-b,4.19245,1.10848
n2-highmem-8,8.0,64.0,,,,europe-west4,europe-west4-a,0.57691,0.13994
n2-highmem-8,8.0,64.0,,,,us-east1,us-east1-b,0.52406,0.13856
n2-highmem-80,80.0,640.0,,,,europe-west4,europe-west4-a,5.76912,1.39936
n2-highmem-80,80.0,640.0,,,,us-east1,us-east1-b,5.24056,1.3856
n2-highmem-96,96.0,768.0,,,,europe-west4,europe-west4-a,6.92294,1.67923
n2-highmem-96,96.0,768.0,,,,us-east1,us-east1-b,6.28867,1.66272
n2-standard-128,128.0,512.0,,,,europe-west4,europe-west4-a,6.84262,1.65837
n2-standard-128,128.0,512.0,,,,us-east1,us-east1-b,6.21555,1.64352
n2-standard-16,16.0,64.0,,,,europe-west4,europe-west4-a,0.85533,0.2073
n2-standard-16,16.0,64.0,,,,us-east1,us-east1-b,0.77694,0.20544
n2-standard-2,2.0,8.0,,,,europe-west4,europe-west4-a,0.10692,0.02591
n2-standard-2,2.0,8.0,,,,us-east1,us-east1-b,0.09712,0.02568
n2-standard-32,32.0,128.0,,,,europe-west4,europe-west4-a,1.71066,0.41459
n2-standard-32,32.0,128.0,,,,us-east1,us-east1-b,1.55389,0.41088
n2-standard-4,4.0,16.0,,,,europe-west4,europe-west4-a,0.21383,0.05182
n2-standard-4,4.0,16.0,,,,us-east1,us-east1-b,0.19424,0.05136
n2-standard-48,48.0,192.0,,,,europe-west4,europe-west4-a,2.56598,0.62189
n2-standard-48,48.0,192.0,,,,us-east1,us-east1-b,2.33083,0.61632
n2-standard-64,64.0,256.0,,,,europe-west4,europe-west4-a,3.42131,0.82918
n2-standard-64,64.0,256.0,,,,us-east1,us-east1-b,3.10778,0.82176
n2-standard-8,8.0,32.0,,,,europe-west4,europe-west4-a,0.42766,0.10365
n2-standard-8,8.0,32.0,,,,us-east1,us-east1-b,0.38847,0.10272
n2-standard-80,80.0,320.0,,,,europe-west4,europe-west4-a,4.27664,1.03648
n2-standard-80,80.0,320.0,,,,us-east1,us-east1-b,3.88472,1.0272
n2-standard-96,96.0,384.0,,,,europe-west4,europe-west4-a,5.13197,1.24378
n2-standard-96,96.0,384.0,,,,us-east1,us-east1-b,4.66166,1.23264
n2d-192-112-v5lite-tpu,112.0,192.0,,,,europe-west4,europe-west4-a,4.17027,0.62259
n2d-384-224-v5lite-tpu,224.0,384.0,,,,europe-west4,europe-west4-a,8.34054,1.24518
n2d-48-24-v5lite-tpu,24.0,48.0,,,,europe-west4,europe-west4-a,0.92146,0.13757
n2d-highcpu-128,128.0,128.0,,,,europe-west4,europe-west4-a,4.39501,0.65613
n2d-highcpu-128,128.0,128.0,,,,us-east1,us-east1-b,3.99206,0.6647
n2d-highcpu-16,16.0,16.0,,,,europe-west4,europe-west4-a,0.54938,0.08202
n2d-highcpu-16,16.0,16.0,,,,us-east1,us-east1-b,0.49901,0.08309
n2d-highcpu-2,2.0,2.0,,,,europe-west4,europe-west4-a,0.06867,0.01025
n2d-highcpu-2,2.0,2.0,,,,us-east1,us-east1-b,0.06238,0.01039
n2d-highcpu-224,224.0,224.0,,,,europe-west4,europe-west4-a,7.69126,1.14822
n2d-highcpu-224,224.0,224.0,,,,us-east1,us-east1-b,6.98611,1.16323
n2d-highcpu-32,32.0,32.0,,,,europe-west4,europe-west4-a,1.09875,0.16403
n2d-highcpu-32,32.0,32.0,,,,us-east1,us-east1-b,0.99802,0.16618
n2d-highcpu-4,4.0,4.0,,,,europe-west4,europe-west4-a,0.13734,0.0205
n2d-highcpu-4,4.0,4.0,,,,us-east1,us-east1-b,0.12475,0.02077
n2d-highcpu-48,48.0,48.0,,,,europe-west4,europe-west4-a,1.64813,0.24605
n2d-highcpu-48,48.0,48.0,,,,us-east1,us-east1-b,1.49702,0.24926
n2d-highcpu-64,64.0,64.0,,,,europe-west4,europe-west4-a,2.1975,0.32806
