InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo
gpu_2x_rtx pro 6000 blackwell 192,RTX PRO 6000 Blackwell,2,192,768,2.780,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
gpu_2x_rtx pro 6000 blackwell 96,RTX PRO 6000 Blackwell,2,96,384,2.900,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
gpu_6x_rtx 5090 192,RTX 5090,6,192,768,2.940,Europe-PL,"{'Gpus': [{'Name': 'RTX 5090', 'Manufacturer': 'NVIDIA', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}"
gpu_7x_rtx 5090 224,RTX 5090,7,224,896,3.430,Europe-PL,"{'Gpus': [{'Name': 'RTX 5090', 'Manufacturer': 'NVIDIA', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}"
gpu_8x_rtx 5090 256,RTX 5090,8,256,1024,3.920,Europe-PL,"{'Gpus': [{'Name': 'RTX 5090', 'Manufacturer': 'NVIDIA', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}"
gpu_3x_rtx pro 6000 blackwell 288,RTX PRO 6000 Blackwell,3,288,1152,4.170,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
gpu_3x_rtx pro 6000 blackwell 144,RTX PRO 6000 Blackwell,3,144,576,4.350,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
gpu_4x_rtx pro 6000 blackwell 192,RTX PRO 6000 Blackwell,4,192,768,5.800,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
gpu_5x_rtx pro 6000 blackwell 240,RTX PRO 6000 Blackwell,5,240,960,7.250,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
gpu_6x_rtx pro 6000 blackwell 288,RTX PRO 6000 Blackwell,6,288,1152,8.700,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
gpu_7x_rtx pro 6000 blackwell 336,RTX PRO 6000 Blackwell,7,336,1344,10.150,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 7, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
gpu_8x_rtx pro 6000 blackwell 384,RTX PRO 6000 Blackwell,8,384,1536,11.600,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
