InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
paperspace_H100x8,H100,8.0,128.0,1760,47.76,newyork-usa-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1802240}}], 'TotalGpuMemoryInMiB': 1802240}",
nebius_H200_sxm5,H200,1.0,16.0,200,3.65,paris-france-2,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 204800}",
nebius_H200_sxm5,H200,1.0,16.0,200,3.65,kansascity-usa-3,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 204800}",
massedcompute_H100x2,H100,2.0,40.0,256,5.96,desmoines-usa-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 262144}}], 'TotalGpuMemoryInMiB': 262144}",
massedcompute_A6000x2,A6000,2.0,14.0,96,1.14,kansascity-usa-1,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 98304}}], 'TotalGpuMemoryInMiB': 98304}",
paperspace_A5000x4,A5000,4.0,32.0,180,5.68,newyork-usa-1,"{'Gpus': [{'Name': 'A5000', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 184320}}], 'TotalGpuMemoryInMiB': 184320}",
hyperstack_A6000x4,A6000,4.0,124.0,232,2.0,montreal-canada-2,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 237568}}], 'TotalGpuMemoryInMiB': 237568}",
hyperstack_A6000x8,A6000,8.0,252.0,464,4.0,montreal-canada-2,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 475136}}], 'TotalGpuMemoryInMiB': 475136}",
hyperstack_A6000,A6000,1.0,28.0,58,0.5,montreal-canada-2,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 59392}}], 'TotalGpuMemoryInMiB': 59392}",
hyperstack_A6000x2,A6000,2.0,60.0,116,1.0,montreal-canada-2,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 118784}}], 'TotalGpuMemoryInMiB': 118784}",
